Metabolite,Amplitude,SD,Phase,Damping,DFreq,Noise_from_LastPts,Estimated_CRB,Workflow,Signal
MM087,6.5326E0,1.7404E1,0.0000E0,2.8079E1,2.2631E-1,3.1465E-2,5.4761E-1,2023-11-13_09:47:47,Rec021_Vox2_quest2
MM167,1.0550E1,2.6453E1,0.0000E0,2.8079E1,-8.0000E0,3.1465E-2,8.3235E-1,2023-11-13_09:47:47,Rec021_Vox2_quest2
MM181,1.1077E1,2.7776E1,0.0000E0,2.8079E1,-8.0000E0,3.1465E-2,8.7397E-1,2023-11-13_09:47:47,Rec021_Vox2_quest2
PCh,2.3525E-1,1.2322E0,0.0000E0,2.1643E1,-8.0000E0,0.0000E0,4.0756E-2,2023-11-13_09:47:47,Rec018_Vox2_quest2
NAAG,8.1946E-1,1.3212E0,0.0000E0,2.1643E1,-7.9258E0,3.3077E-2,4.3701E-2,2023-11-13_09:47:47,Rec018_Vox2_quest2
NAA,4.0973E0,6.6060E0,0.0000E0,2.1643E1,-7.9258E0,3.3077E-2,2.1851E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
GPC,2.1172E-1,1.1090E0,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,3.6681E-2,2023-11-13_09:47:47,Rec018_Vox2_quest2
Tau,3.3824E0,5.3815E0,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,1.7800E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
Asp,1.6940E0,1.0189E1,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,3.3702E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
PE,7.0967E-1,5.2144E0,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,1.7248E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
Lac,2.5042E0,9.2770E0,0.0000E0,2.1643E1,-2.5615E0,3.3077E-2,3.0685E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
Ala,6.1626E-1,4.0574E0,0.0000E0,2.1643E1,-2.5615E0,3.3077E-2,1.3421E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
Gly,4.2021E-1,8.7812E-1,0.0000E0,2.1643E1,-6.3537E0,3.3077E-2,2.9045E-2,2023-11-13_09:47:47,Rec018_Vox2_quest2
mI,2.1010E0,4.3906E0,0.0000E0,2.1643E1,-6.3537E0,3.3077E-2,1.4523E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
GABA,2.1202E0,5.0927E0,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,1.6845E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
Gln,2.3151E0,4.7486E0,0.0000E0,2.1643E1,-7.7318E0,3.3077E-2,1.5707E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
Glu,5.0993E0,6.4386E0,0.0000E0,2.1643E1,-7.7318E0,3.3077E-2,2.1297E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
Glc,1.9457E0,4.8708E0,0.0000E0,2.1643E1,-2.8022E0,3.3077E-2,1.6111E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
PCr,1.2075E0,4.9573E0,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,1.6397E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
Cre,1.3416E0,5.5081E0,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,1.8219E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
water1,2.0512E-1,1.0458E0,-1.5901E2,2.1643E1,1.3352E0,3.3077E-2,3.4593E-2,2023-11-13_09:47:47,Rec018_Vox2_quest2
water2,1.5513E0,2.0248E0,-8.7627E-1,2.1643E1,1.3352E0,3.3077E-2,6.6974E-2,2023-11-13_09:47:47,Rec018_Vox2_quest2
water3,5.6500E-1,1.1857E0,1.7405E2,2.1643E1,1.3352E0,3.3077E-2,3.9218E-2,2023-11-13_09:47:47,Rec018_Vox2_quest2
MM09,4.5308E0,1.3003E1,0.0000E0,2.1643E1,-5.7761E0,3.3077E-2,4.3009E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
MM12,5.4370E0,1.5603E1,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,5.1611E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
MM14,5.4370E0,1.5603E1,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,5.1611E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
MM19,4.5308E0,1.3003E1,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,4.3009E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
MM20,3.6246E0,1.0402E1,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,3.4407E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
MM22,4.5308E0,1.3003E1,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,4.3009E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
MM27,4.5308E0,1.3003E1,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,4.3009E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
MM30,4.5308E0,1.3003E1,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,4.3009E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
MM32,4.5308E0,1.3003E1,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,4.3009E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
MM37,3.6246E0,1.0402E1,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,3.4407E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
MM39,3.6246E0,1.0402E1,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,3.4407E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
MM079,3.1716E0,9.1019E0,0.0000E0,2.1643E1,-5.7761E0,3.3077E-2,3.0106E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
MM087,5.8901E0,1.6904E1,0.0000E0,2.1643E1,-5.7761E0,3.3077E-2,5.5912E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
MM167,8.5568E0,2.5745E1,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,8.5157E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
MM181,8.9847E0,2.7033E1,0.0000E0,2.1643E1,-8.0000E0,3.3077E-2,8.9415E-1,2023-11-13_09:47:47,Rec018_Vox2_quest2
PCh,1.7062E-1,1.2592E0,0.0000E0,3.0000E1,-8.0000E0,0.0000E0,2.9015E-2,2023-11-13_09:47:47,Rec017_Vox2_quest2
NAAG,4.6872E-1,1.4615E0,0.0000E0,3.0000E1,-6.5005E0,2.3043E-2,3.3676E-2,2023-11-13_09:47:47,Rec017_Vox2_quest2
NAA,2.3436E0,7.3074E0,0.0000E0,3.0000E1,-6.5005E0,2.3043E-2,1.6838E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
GPC,1.5356E-1,1.1333E0,0.0000E0,3.0000E1,-8.0000E0,2.3043E-2,2.6114E-2,2023-11-13_09:47:47,Rec017_Vox2_quest2
Tau,1.8328E0,6.2213E0,0.0000E0,3.0000E1,-7.0156E0,2.3043E-2,1.4336E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
Asp,1.3779E0,1.1093E1,0.0000E0,3.0000E1,-8.0000E0,2.3043E-2,2.5562E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
PE,6.9449E-1,5.3045E0,0.0000E0,3.0000E1,3.2021E-1,2.3043E-2,1.2223E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
Lac,1.8559E0,1.0088E1,0.0000E0,3.0000E1,2.1118E0,2.3043E-2,2.3245E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
Ala,5.1380E-1,4.4279E0,0.0000E0,3.0000E1,2.1118E0,2.3043E-2,1.0203E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
Gly,3.6592E-1,9.8852E-1,0.0000E0,3.0000E1,-4.2828E0,2.3043E-2,2.2778E-2,2023-11-13_09:47:47,Rec017_Vox2_quest2
mI,1.8296E0,4.9426E0,0.0000E0,3.0000E1,-4.2828E0,2.3043E-2,1.1389E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
GABA,1.3905E0,5.5203E0,0.0000E0,3.0000E1,-8.0000E0,2.3043E-2,1.2720E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
Gln,1.5848E0,5.2361E0,0.0000E0,3.0000E1,-4.9947E0,2.3043E-2,1.2065E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
Glu,3.9339E0,6.9084E0,0.0000E0,3.0000E1,-4.9947E0,2.3043E-2,1.5919E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
Glc,1.2213E0,5.4291E0,0.0000E0,3.0000E1,1.6632E0,2.3043E-2,1.2510E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
PCr,9.3710E-1,5.3415E0,0.0000E0,3.0000E1,-7.4351E0,2.3043E-2,1.2308E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
Cre,8.5882E-1,5.3744E0,0.0000E0,3.0000E1,-7.4351E0,2.3043E-2,1.2384E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
water1,1.2187E-1,1.1573E0,1.7370E2,3.0000E1,-6.8369E0,2.3043E-2,2.6668E-2,2023-11-13_09:47:47,Rec017_Vox2_quest2
water2,4.3382E-1,1.7176E0,-8.8192E1,3.0000E1,-6.8369E0,2.3043E-2,3.9577E-2,2023-11-13_09:47:47,Rec017_Vox2_quest2
water3,3.8471E-1,1.3675E0,8.8138E1,3.0000E1,-6.8369E0,2.3043E-2,3.1511E-2,2023-11-13_09:47:47,Rec017_Vox2_quest2
MM09,3.1921E0,1.3206E1,0.0000E0,3.0000E1,4.9291E-1,2.3043E-2,3.0430E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
MM12,3.8305E0,1.5847E1,0.0000E0,3.0000E1,-8.0000E0,2.3043E-2,3.6516E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
MM14,3.2438E0,1.3116E1,0.0000E0,3.0000E1,-8.0000E0,2.3043E-2,3.0224E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
MM19,3.1921E0,1.3206E1,0.0000E0,3.0000E1,-8.0000E0,2.3043E-2,3.0430E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
MM20,2.7740E0,1.0565E1,0.0000E0,3.0000E1,-8.0000E0,2.3043E-2,2.4344E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
MM22,3.1921E0,1.3206E1,0.0000E0,3.0000E1,-8.0000E0,2.3043E-2,3.0430E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
MM27,3.1921E0,1.3206E1,0.0000E0,3.0000E1,-8.0000E0,2.3043E-2,3.0430E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
MM30,3.1921E0,1.3206E1,0.0000E0,3.0000E1,-8.0000E0,2.3043E-2,3.0430E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
MM32,3.1921E0,1.3206E1,0.0000E0,3.0000E1,-8.0000E0,2.3043E-2,3.0430E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
MM37,2.5537E0,1.0565E1,0.0000E0,3.0000E1,-8.0000E0,2.3043E-2,2.4344E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
MM39,2.5537E0,1.0565E1,0.0000E0,3.0000E1,-8.0000E0,2.3043E-2,2.4344E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
MM079,3.3099E0,1.4085E1,0.0000E0,3.0000E1,4.9291E-1,2.3043E-2,3.2455E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
