Metabolite,Amplitude,SD,Phase,Damping,DFreq,Noise_from_LastPts,Estimated_CRB,Workflow,Signal
Asp,2.6894E0,1.1107E1,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,4.1379E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
PE,7.1037E-1,5.9225E0,0.0000E0,3.0000E1,-6.5077E0,3.7254E-2,2.2064E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
Lac,6.4193E0,1.0242E1,0.0000E0,3.0000E1,-2.5067E-1,3.7254E-2,3.8154E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
Ala,1.1662E0,4.5028E0,0.0000E0,3.0000E1,-2.5067E-1,3.7254E-2,1.6775E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
Gly,5.3108E-1,9.9080E-1,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,3.6911E-2,2023-11-13_09:47:47,Rec014_Vox2_quest2
mI,2.6554E0,4.9540E0,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,1.8455E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
GABA,3.0964E0,5.7026E0,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,2.1244E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
Gln,2.4374E0,5.2436E0,0.0000E0,3.0000E1,-6.7197E0,3.7254E-2,1.9534E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
Glu,6.6774E0,6.9899E0,0.0000E0,3.0000E1,-6.7197E0,3.7254E-2,2.6040E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
Glc,1.9828E0,5.4264E0,0.0000E0,3.0000E1,-2.1733E0,3.7254E-2,2.0215E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
PCr,9.4390E-1,5.4211E0,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,2.0195E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
Cre,1.0488E0,6.0234E0,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,2.2439E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
water1,1.0992E-1,1.2855E0,1.4158E2,3.0000E1,-5.2376E0,3.7254E-2,4.7890E-2,2023-11-13_09:47:47,Rec014_Vox2_quest2
water2,5.4429E-1,1.5517E0,-1.1535E2,3.0000E1,-5.2376E0,3.7254E-2,5.7807E-2,2023-11-13_09:47:47,Rec014_Vox2_quest2
water3,4.4687E-1,1.4373E0,7.0139E1,3.0000E1,-5.2376E0,3.7254E-2,5.3545E-2,2023-11-13_09:47:47,Rec014_Vox2_quest2
MM09,6.8094E0,1.4579E1,0.0000E0,3.0000E1,-1.2259E0,3.7254E-2,5.4313E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
MM12,8.1713E0,1.7495E1,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,6.5175E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
MM14,8.1713E0,1.7495E1,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,6.5175E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
MM19,6.8094E0,1.4579E1,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,5.4313E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
MM20,8.1713E0,1.7495E1,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,6.5175E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
MM22,6.8094E0,1.4579E1,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,5.4313E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
MM27,6.8094E0,1.4579E1,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,5.4313E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
MM30,6.8094E0,1.4579E1,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,5.4313E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
MM32,6.8094E0,1.4579E1,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,5.4313E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
MM37,5.4475E0,1.1663E1,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,4.3450E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
MM39,5.4475E0,1.1663E1,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,4.3450E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
MM079,8.8522E0,1.8953E1,0.0000E0,3.0000E1,-1.2259E0,3.7254E-2,7.0606E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
MM087,8.8522E0,1.8953E1,0.0000E0,3.0000E1,-1.2259E0,3.7254E-2,7.0606E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
MM167,1.2464E1,2.6451E1,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,9.8538E-1,2023-11-13_09:47:47,Rec014_Vox2_quest2
MM181,1.3088E1,2.7773E1,0.0000E0,3.0000E1,-8.0000E0,3.7254E-2,1.0346E0,2023-11-13_09:47:47,Rec014_Vox2_quest2
PCh,1.1774E-1,1.2203E0,0.0000E0,3.0000E1,-8.0000E0,0.0000E0,4.6387E-2,2023-11-13_09:47:47,Rec006_Vox1_quest2
NAAG,8.0190E-1,1.4876E0,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,5.6547E-2,2023-11-13_09:47:47,Rec006_Vox1_quest2
NAA,4.0095E0,7.4379E0,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,2.8273E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
GPC,1.2951E-1,1.3423E0,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,5.1025E-2,2023-11-13_09:47:47,Rec006_Vox1_quest2
Tau,3.2641E0,5.9880E0,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,2.2762E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
Asp,2.8923E0,1.1108E1,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,4.2224E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
PE,7.8306E-1,5.9815E0,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,2.2737E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
Lac,4.9610E0,1.0123E1,0.0000E0,3.0000E1,2.8070E0,3.8013E-2,3.8480E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
Ala,9.0704E-1,4.4258E0,0.0000E0,3.0000E1,2.8070E0,3.8013E-2,1.6824E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
Gly,5.8703E-1,9.8818E-1,0.0000E0,3.0000E1,-6.3804E0,3.8013E-2,3.7563E-2,2023-11-13_09:47:47,Rec006_Vox1_quest2
mI,2.9352E0,4.9409E0,0.0000E0,3.0000E1,-6.3804E0,3.8013E-2,1.8782E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
GABA,2.4269E0,5.7060E0,0.0000E0,3.0000E1,-7.5605E0,3.8013E-2,2.1690E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
Gln,2.6444E0,5.2455E0,0.0000E0,3.0000E1,-5.5972E0,3.8013E-2,1.9939E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
Glu,6.0587E0,6.8821E0,0.0000E0,3.0000E1,-5.5972E0,3.8013E-2,2.6161E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
Glc,1.5077E0,5.4590E0,0.0000E0,3.0000E1,2.0130E0,3.8013E-2,2.0751E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
PCr,1.0113E0,5.5406E0,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,2.1061E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
Cre,9.1939E-1,5.0369E0,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,1.9147E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
water1,2.7707E-1,1.2314E0,8.9595E1,3.0000E1,-7.9210E0,3.8013E-2,4.6810E-2,2023-11-13_09:47:47,Rec006_Vox1_quest2
water2,1.4692E0,2.3172E0,-1.3122E2,3.0000E1,-7.9210E0,3.8013E-2,8.8082E-2,2023-11-13_09:47:47,Rec006_Vox1_quest2
water3,8.4927E-1,1.8286E0,6.3882E1,3.0000E1,-7.9210E0,3.8013E-2,6.9508E-2,2023-11-13_09:47:47,Rec006_Vox1_quest2
MM09,7.2276E0,1.4788E1,0.0000E0,3.0000E1,-8.7790E-1,3.8013E-2,5.6212E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
MM12,8.6732E0,1.7745E1,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,6.7454E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
MM14,8.6732E0,1.7745E1,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,6.7454E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
MM19,7.2276E0,1.4788E1,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,5.6212E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
MM20,8.6732E0,1.7745E1,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,6.7454E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
MM22,7.2276E0,1.4788E1,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,5.6212E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
MM27,7.2276E0,1.4788E1,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,5.6212E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
MM30,7.2276E0,1.4788E1,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,5.6212E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
MM32,7.2276E0,1.4788E1,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,5.6212E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
MM37,5.7821E0,1.1830E1,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,4.4969E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
MM39,5.7821E0,1.1830E1,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,4.4969E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
MM079,9.3959E0,1.9224E1,0.0000E0,3.0000E1,-8.7790E-1,3.8013E-2,7.3075E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
MM087,9.3959E0,1.9224E1,0.0000E0,3.0000E1,-8.7790E-1,3.8013E-2,7.3075E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
MM167,1.3905E1,2.6248E1,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,9.9777E-1,2023-11-13_09:47:47,Rec006_Vox1_quest2
MM181,1.4601E1,2.7561E1,0.0000E0,3.0000E1,-8.0000E0,3.8013E-2,1.0477E0,2023-11-13_09:47:47,Rec006_Vox1_quest2
PCh,5.2946E-2,1.1537E0,0.0000E0,3.0000E1,-8.0000E0,0.0000E0,1.5192E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
NAAG,2.4472E-1,1.4874E0,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,1.9586E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
NAA,1.1605E0,7.0559E0,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,9.2913E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
GPC,5.7445E-2,1.2691E0,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,1.6711E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
Tau,1.2211E0,6.1270E0,0.0000E0,3.0000E1,-7.9308E0,1.3168E-2,8.0681E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
Asp,7.1444E-1,1.1077E1,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,1.4587E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
PE,1.8900E-1,5.7941E0,0.0000E0,3.0000E1,-4.6841E0,1.3168E-2,7.6297E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
Lac,1.2698E0,1.0176E1,0.0000E0,3.0000E1,8.0000E0,1.3168E-2,1.3399E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
Ala,3.4156E-1,4.3471E0,0.0000E0,3.0000E1,8.0000E0,1.3168E-2,5.7244E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
Gly,1.9862E-1,9.7066E-1,0.0000E0,3.0000E1,-5.7419E0,1.3168E-2,1.2782E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
mI,9.9308E-1,4.8533E0,0.0000E0,3.0000E1,-5.7419E0,1.3168E-2,6.3909E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
GABA,9.3776E-1,5.4587E0,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,7.1881E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
Gln,9.4600E-1,5.2147E0,0.0000E0,3.0000E1,-5.6243E0,1.3168E-2,6.8668E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
Glu,1.5623E0,6.7996E0,0.0000E0,3.0000E1,-5.6243E0,1.3168E-2,8.9538E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
Glc,4.4523E-1,5.4945E0,0.0000E0,3.0000E1,8.0000E0,1.3168E-2,7.2352E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
PCr,2.4780E-1,3.9921E0,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,5.2568E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
Cre,2.4148E-1,3.6909E0,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,4.8603E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
water1,1.5194E-1,2.6647E0,7.1962E1,3.0000E1,1.5225E0,1.3168E-2,3.5089E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
water2,1.9915E-1,1.9815E0,-5.3897E1,3.0000E1,1.5225E0,1.3168E-2,2.6093E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
water3,5.6760E-2,7.9249E-1,-2.1699E1,3.0000E1,1.5225E0,1.3168E-2,1.0436E-2,2023-11-13_09:47:47,Rec013_Vox1_quest2
MM09,2.1928E0,1.1244E1,0.0000E0,3.0000E1,-2.1759E0,1.3168E-2,1.4806E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
MM12,2.6314E0,1.3493E1,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,1.7767E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
MM14,2.5221E0,1.2929E1,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,1.7025E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
MM19,2.1928E0,1.1244E1,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,1.4806E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
MM20,2.6314E0,1.3493E1,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,1.7767E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
MM22,2.1928E0,1.1244E1,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,1.4806E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
MM27,2.1928E0,1.1244E1,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,1.4806E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
MM30,2.1928E0,1.1244E1,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,1.4806E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
MM32,2.1928E0,1.1244E1,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,1.4806E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
MM37,1.7542E0,8.9951E0,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,1.1845E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
MM39,1.7542E0,8.9951E0,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,1.1845E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
MM079,2.8506E0,1.4617E1,0.0000E0,3.0000E1,-2.1759E0,1.3168E-2,1.9248E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
MM087,2.8506E0,1.4617E1,0.0000E0,3.0000E1,-2.1759E0,1.3168E-2,1.9248E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
MM167,4.7708E0,2.9809E1,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,3.9253E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
MM181,5.0093E0,3.1300E1,0.0000E0,3.0000E1,-8.0000E0,1.3168E-2,4.1216E-1,2023-11-13_09:47:47,Rec013_Vox1_quest2
PCh,1.1175E-1,1.2036E0,0.0000E0,3.0000E1,-8.0000E0,0.0000E0,2.7047E-2,2023-11-13_09:47:47,Rec015_Vox2_quest2
NAAG,3.5963E-1,1.4240E0,0.0000E0,3.0000E1,-7.9290E0,2.2472E-2,3.2000E-2,2023-11-13_09:47:47,Rec015_Vox2_quest2
NAA,1.7981E0,7.1199E0,0.0000E0,3.0000E1,-7.9290E0,2.2472E-2,1.6000E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
GPC,1.2292E-1,1.3240E0,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,2.9752E-2,2023-11-13_09:47:47,Rec015_Vox2_quest2
Tau,1.1860E0,5.8360E0,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,1.3114E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
Asp,8.3780E-1,1.1030E1,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,2.4787E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
PE,3.8947E-1,5.9757E0,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,1.3428E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
Lac,2.4016E0,1.0154E1,0.0000E0,3.0000E1,1.3628E-1,2.2472E-2,2.2818E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
Ala,5.1555E-1,4.4887E0,0.0000E0,3.0000E1,1.3628E-1,2.2472E-2,1.0087E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
Gly,3.2413E-1,1.2822E0,0.0000E0,3.0000E1,-5.6848E0,2.2472E-2,2.8812E-2,2023-11-13_09:47:47,Rec015_Vox2_quest2
mI,1.2509E0,4.9399E0,0.0000E0,3.0000E1,-5.6848E0,2.2472E-2,1.1101E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
GABA,1.3590E0,5.5307E0,0.0000E0,3.0000E1,-7.4206E0,2.2472E-2,1.2428E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
Gln,1.4286E0,5.2011E0,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,1.1688E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
Glu,2.4311E0,6.9516E0,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,1.5621E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
Glc,5.4465E-1,5.3094E0,0.0000E0,3.0000E1,-2.7947E0,2.2472E-2,1.1931E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
PCr,5.0949E-1,4.5811E0,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,1.0295E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
Cre,4.6317E-1,4.1647E0,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,9.3588E-2,2023-11-13_09:47:47,Rec015_Vox2_quest2
water1,9.1226E-2,1.2888E0,1.1440E2,3.0000E1,-9.0790E-1,2.2472E-2,2.8961E-2,2023-11-13_09:47:47,Rec015_Vox2_quest2
water2,4.5961E-1,1.8656E0,-1.2923E2,3.0000E1,-9.0790E-1,2.2472E-2,4.1923E-2,2023-11-13_09:47:47,Rec015_Vox2_quest2
water3,3.0965E-1,1.4323E0,5.4523E1,3.0000E1,-9.0790E-1,2.2472E-2,3.2187E-2,2023-11-13_09:47:47,Rec015_Vox2_quest2
MM09,2.9148E0,1.1897E1,0.0000E0,3.0000E1,-5.4148E0,2.2472E-2,2.6734E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
MM12,3.4978E0,1.4276E1,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,3.2081E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
MM14,3.4978E0,1.4276E1,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,3.2081E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
MM19,2.9148E0,1.1897E1,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,2.6734E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
MM20,3.4978E0,1.4276E1,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,3.2081E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
MM22,2.9148E0,1.1897E1,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,2.6734E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
MM27,2.9148E0,1.1897E1,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,2.6734E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
MM30,2.9148E0,1.1897E1,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,2.6734E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
MM32,2.9148E0,1.1897E1,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,2.6734E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
MM37,2.3319E0,9.5173E0,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,2.1387E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
MM39,2.3319E0,9.5173E0,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,2.1387E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
MM079,3.7893E0,1.5466E1,0.0000E0,3.0000E1,-5.4148E0,2.2472E-2,3.4754E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
MM087,3.7893E0,1.5466E1,0.0000E0,3.0000E1,-5.4148E0,2.2472E-2,3.4754E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
MM167,5.7513E0,2.8800E1,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,6.4719E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
MM181,6.0388E0,3.0240E1,0.0000E0,3.0000E1,-8.0000E0,2.2472E-2,6.7955E-1,2023-11-13_09:47:47,Rec015_Vox2_quest2
PCh,1.8037E-1,1.2055E0,0.0000E0,3.0000E1,-7.9103E0,0.0000E0,3.1624E-2,2023-11-13_09:47:47,Rec005_Vox2_quest2
NAAG,4.4704E-1,1.4799E0,0.0000E0,3.0000E1,-6.3583E0,2.6232E-2,3.8821E-2,2023-11-13_09:47:47,Rec005_Vox2_quest2
NAA,2.2352E0,7.3994E0,0.0000E0,3.0000E1,-6.3583E0,2.6232E-2,1.9410E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
GPC,1.6233E-1,1.0850E0,0.0000E0,3.0000E1,-7.9103E0,2.6232E-2,2.8462E-2,2023-11-13_09:47:47,Rec005_Vox2_quest2
Tau,1.4047E0,6.3003E0,0.0000E0,3.0000E1,-8.0000E0,2.6232E-2,1.6527E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
Asp,8.0738E-1,1.1001E1,0.0000E0,3.0000E1,-8.0000E0,2.6232E-2,2.8859E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
PE,6.1213E-1,4.9866E0,0.0000E0,3.0000E1,8.0000E0,2.6232E-2,1.3081E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
Lac,2.0253E0,1.0219E1,0.0000E0,3.0000E1,7.4156E0,2.6232E-2,2.6807E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
Ala,9.4122E-2,4.3558E0,0.0000E0,3.0000E1,7.4156E0,2.6232E-2,1.1426E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
Gly,2.7697E-1,9.8678E-1,0.0000E0,3.0000E1,-5.1166E0,2.6232E-2,2.5885E-2,2023-11-13_09:47:47,Rec005_Vox2_quest2
mI,1.3848E0,4.9339E0,0.0000E0,3.0000E1,-5.1166E0,2.6232E-2,1.2943E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
GABA,4.1113E-1,5.8680E0,0.0000E0,3.0000E1,-8.0000E0,2.6232E-2,1.5393E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
Gln,1.1896E0,5.2161E0,0.0000E0,3.0000E1,-6.0581E0,2.6232E-2,1.3683E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
Glu,3.0025E0,6.9990E0,0.0000E0,3.0000E1,-6.0581E0,2.6232E-2,1.8360E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
Glc,8.3284E-1,5.4096E0,0.0000E0,3.0000E1,5.2477E-1,2.6232E-2,1.4191E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
PCr,9.5576E-1,5.6290E0,0.0000E0,3.0000E1,-8.0000E0,2.6232E-2,1.4766E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
Cre,8.6887E-1,5.1173E0,0.0000E0,3.0000E1,-8.0000E0,2.6232E-2,1.3424E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
water1,2.2210E-1,1.4408E0,-8.5514E1,3.0000E1,8.0000E0,2.6232E-2,3.7797E-2,2023-11-13_09:47:47,Rec005_Vox2_quest2
water2,1.1332E0,2.7378E0,3.2194E1,3.0000E1,8.0000E0,2.6232E-2,7.1819E-2,2023-11-13_09:47:47,Rec005_Vox2_quest2
water3,4.3686E-1,1.7371E0,-1.4338E2,3.0000E1,8.0000E0,2.6232E-2,4.5569E-2,2023-11-13_09:47:47,Rec005_Vox2_quest2
MM09,2.4118E0,1.3108E1,0.0000E0,3.0000E1,3.7626E0,2.6232E-2,3.4386E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
MM12,2.8420E0,1.3854E1,0.0000E0,3.0000E1,-8.0000E0,2.6232E-2,3.6343E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
MM14,2.4369E0,1.2150E1,0.0000E0,3.0000E1,-8.0000E0,2.6232E-2,3.1873E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
MM19,2.4118E0,1.3108E1,0.0000E0,3.0000E1,-8.0000E0,2.6232E-2,3.4386E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
MM20,1.9295E0,1.5730E1,0.0000E0,3.0000E1,-8.0000E0,2.6232E-2,4.1263E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
MM22,2.4118E0,1.3108E1,0.0000E0,3.0000E1,-8.0000E0,2.6232E-2,3.4386E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
MM27,2.4118E0,1.3108E1,0.0000E0,3.0000E1,-8.0000E0,2.6232E-2,3.4386E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
MM30,2.4118E0,1.3108E1,0.0000E0,3.0000E1,-8.0000E0,2.6232E-2,3.4386E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
MM32,2.4118E0,1.3108E1,0.0000E0,3.0000E1,-8.0000E0,2.6232E-2,3.4386E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
MM37,1.9295E0,1.0486E1,0.0000E0,3.0000E1,-8.0000E0,2.6232E-2,2.7508E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
MM39,2.3619E0,1.0486E1,0.0000E0,3.0000E1,-8.0000E0,2.6232E-2,2.7508E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
MM079,1.6883E0,9.1757E0,0.0000E0,3.0000E1,3.7626E0,2.6232E-2,2.4070E-1,2023-11-13_09:47:47,Rec005_Vox2_quest2
